Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time
Wikidata,View-Unionable,musicians_viewunion,bert-base-uncased,0.5555555555555556,0.4166666666666667,0.8333333333333334,448.15493083000183
Wikidata,View-Unionable,musicians_viewunion,distilbert-base-uncased,0.5555555555555556,0.4166666666666667,0.8333333333333334,322.5670471191406
Wikidata,View-Unionable,musicians_viewunion,sentence-transformers/all-MiniLM-L6-v2,0.6666666666666666,0.5,1.0,236.47435808181763
Wikidata,View-Unionable,musicians_viewunion,albert-base-v2,0.4705882352941177,0.3636363636363636,0.6666666666666666,2069.6827278137207
Wikidata,View-Unionable,musicians_viewunion,facebook/bart-base,0.4705882352941177,0.3636363636363636,0.6666666666666666,995.103273153305
Wikidata,View-Unionable,musicians_viewunion,gpt,0.6666666666666666,0.5,1.0,295.4367837905884
Wikidata,View-Unionable,musicians_viewunion,roberta-base,0.4705882352941177,0.3636363636363636,0.6666666666666666,460.48052287101746
Wikidata,Joinable,musicians_joinable,bert-base-uncased,0.5555555555555556,0.4166666666666667,0.8333333333333334,401.4091420173645
Wikidata,Joinable,musicians_joinable,distilbert-base-uncased,0.5555555555555556,0.4166666666666667,0.8333333333333334,318.48151111602783
Wikidata,Joinable,musicians_joinable,sentence-transformers/all-MiniLM-L6-v2,0.5555555555555556,0.4166666666666667,0.8333333333333334,227.26949191093445
Wikidata,Joinable,musicians_joinable,albert-base-v2,0.5555555555555556,0.4166666666666667,0.8333333333333334,501.27456402778625
Wikidata,Joinable,musicians_joinable,facebook/bart-base,0.5882352941176471,0.4545454545454545,0.8333333333333334,1107.058620929718
Wikidata,Joinable,musicians_joinable,gpt,0.5555555555555556,0.4166666666666667,0.8333333333333334,315.70553493499756
Wikidata,Joinable,musicians_joinable,roberta-base,0.5882352941176471,0.4545454545454545,0.8333333333333334,529.4808831214905
Wikidata,Semantically-Joinable,musicians_semjoinable,bert-base-uncased,0.2,0.1666666666666666,0.25,534.1068637371063
Wikidata,Semantically-Joinable,musicians_semjoinable,distilbert-base-uncased,0.1904761904761905,0.1538461538461538,0.25,394.9321811199188
Wikidata,Semantically-Joinable,musicians_semjoinable,sentence-transformers/all-MiniLM-L6-v2,0.2857142857142857,0.2307692307692307,0.375,262.3115351200104
Wikidata,Semantically-Joinable,musicians_semjoinable,albert-base-v2,0.2,0.1666666666666666,0.25,590.1973037719727
Wikidata,Semantically-Joinable,musicians_semjoinable,facebook/bart-base,0.4,0.3333333333333333,0.5,1564.714261054993
Wikidata,Semantically-Joinable,musicians_semjoinable,gpt,0.1904761904761905,0.1538461538461538,0.25,382.8496780395508
Wikidata,Semantically-Joinable,musicians_semjoinable,roberta-base,0.2222222222222222,0.2,0.25,626.5729217529297
Wikidata,Unionable,musicians_unionable,bert-base-uncased,0.9230769230769232,0.9473684210526316,0.9,1084.9165771007538
Wikidata,Unionable,musicians_unionable,distilbert-base-uncased,0.9,0.9,0.9,760.4073121547699
Wikidata,Unionable,musicians_unionable,sentence-transformers/all-MiniLM-L6-v2,0.9,0.9,0.9,518.6115431785583
Wikidata,Unionable,musicians_unionable,albert-base-v2,0.9230769230769232,0.9473684210526316,0.9,1209.6493859291077
Wikidata,Unionable,musicians_unionable,facebook/bart-base,0.9230769230769232,0.9473684210526316,0.9,2736.9378130435944
Wikidata,Unionable,musicians_unionable,gpt,0.9,0.9,0.9,924.7217803001404
Wikidata,Unionable,musicians_unionable,roberta-base,0.9230769230769231,0.9473684210526315,0.9,1282.5384290218353
