Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time
TPC-DI,View-Unionable,prospect_both_0_50_ac3_av,albert-base-v2,0.5185185185185185,0.4375,0.6363636363636364,72.13357281684875
TPC-DI,View-Unionable,prospect_both_0_50_ac3_av,facebook/bart-base,0.5185185185185185,0.4375,0.6363636363636364,273.983225107193
TPC-DI,View-Unionable,prospect_both_0_50_ac3_av,gpt,0.4444444444444444,0.375,0.5454545454545454,68.71410894393921
TPC-DI,View-Unionable,prospect_both_0_50_ac3_av,roberta-base,0.5185185185185185,0.4375,0.6363636363636364,137.88609290122986
TPC-DI,View-Unionable,prospect_both_0_1_ac3_ev,gpt,0.1666666666666666,0.0909090909090909,1.0,26.13004493713379
TPC-DI,View-Unionable,prospect_both_0_1_ac3_ev,roberta-base,0.0,0.0,0.0,52.799320936203
TPC-DI,View-Unionable,prospect_both_0_30_ac5_ev,facebook/bart-base,0.5,0.3571428571428571,0.8333333333333334,208.23531103134155
TPC-DI,View-Unionable,prospect_both_0_30_ac5_ev,gpt,0.5,0.3571428571428571,0.8333333333333334,45.85790181159973
TPC-DI,View-Unionable,prospect_both_0_30_ac5_ev,roberta-base,0.4,0.2857142857142857,0.6666666666666666,102.02366375923155
TPC-DI,View-Unionable,prospect_both_0_70_ac2_ev,facebook/bart-base,0.6666666666666666,0.6111111111111112,0.7333333333333333,360.55339908599854
TPC-DI,View-Unionable,prospect_both_0_70_ac2_ev,gpt,0.6666666666666666,0.6111111111111112,0.7333333333333333,76.9673478603363
TPC-DI,View-Unionable,prospect_both_0_70_ac2_ev,roberta-base,0.5454545454545454,0.5,0.6,187.63587403297424
TPC-DI,View-Unionable,prospect_both_0_1_ac2_ev,distilbert-base-uncased,0.0,0.0,0.0,47.44409322738648
TPC-DI,View-Unionable,prospect_both_0_1_ac2_ev,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,0.0,23.77644205093384
TPC-DI,View-Unionable,prospect_both_0_1_ac2_ev,albert-base-v2,0.1666666666666666,0.0909090909090909,1.0,29.748936891555783
TPC-DI,View-Unionable,prospect_both_0_1_ac2_ev,facebook/bart-base,0.0,0.0,0.0,118.27938175201416
TPC-DI,View-Unionable,prospect_both_0_1_ac2_ev,gpt,0.1666666666666666,0.0909090909090909,1.0,24.45114302635193
TPC-DI,View-Unionable,prospect_both_0_1_ac2_ev,roberta-base,0.0,0.0,0.0,63.01962876319885
TPC-DI,View-Unionable,prospect_both_0_30_ac4_ev,sentence-transformers/all-MiniLM-L6-v2,0.5,0.3571428571428571,0.8333333333333334,40.39192795753479
TPC-DI,View-Unionable,prospect_both_0_30_ac4_ev,albert-base-v2,0.5,0.3571428571428571,0.8333333333333334,40.48751997947693
TPC-DI,View-Unionable,prospect_both_0_30_ac4_ev,facebook/bart-base,0.5,0.3571428571428571,0.8333333333333334,201.1576828956604
TPC-DI,View-Unionable,prospect_both_0_30_ac4_ev,gpt,0.6,0.4285714285714285,1.0,39.19826292991638
TPC-DI,View-Unionable,prospect_both_0_30_ac4_ev,roberta-base,0.5,0.3571428571428571,0.8333333333333334,104.96563029289246
TPC-DI,View-Unionable,prospect_both_0_50_ac2_av,albert-base-v2,0.5185185185185185,0.4375,0.6363636363636364,84.14366483688354
TPC-DI,View-Unionable,prospect_both_0_50_ac2_av,facebook/bart-base,0.6666666666666666,0.5625,0.8181818181818182,379.632472038269
TPC-DI,View-Unionable,prospect_both_0_50_ac2_av,gpt,0.5925925925925926,0.5,0.7272727272727273,65.37646913528442
TPC-DI,View-Unionable,prospect_both_0_50_ac2_av,roberta-base,0.5925925925925926,0.5,0.7272727272727273,222.3834817409516
TPC-DI,View-Unionable,prospect_both_0_1_ec_av,distilbert-base-uncased,0.1666666666666666,0.0909090909090909,1.0,46.487354040145874
TPC-DI,View-Unionable,prospect_both_0_1_ec_av,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,0.0,22.42303895950317
TPC-DI,View-Unionable,prospect_both_0_1_ec_av,albert-base-v2,0.1666666666666666,0.0909090909090909,1.0,30.873845100402832
TPC-DI,View-Unionable,prospect_both_0_1_ec_av,facebook/bart-base,0.0,0.0,0.0,123.83802604675292
TPC-DI,View-Unionable,prospect_both_0_1_ec_av,gpt,0.1666666666666666,0.0909090909090909,1.0,24.37194991111756
TPC-DI,View-Unionable,prospect_both_0_1_ec_av,roberta-base,0.0,0.0,0.0,59.48604989051819
TPC-DI,View-Unionable,prospect_both_0_50_ac2_ev,albert-base-v2,0.5185185185185185,0.4375,0.6363636363636364,75.77647519111633
TPC-DI,View-Unionable,prospect_both_0_50_ac2_ev,facebook/bart-base,0.5925925925925926,0.5,0.7272727272727273,312.468710899353
TPC-DI,View-Unionable,prospect_both_0_50_ac2_ev,gpt,0.5185185185185185,0.4375,0.6363636363636364,57.77466320991516
TPC-DI,View-Unionable,prospect_both_0_50_ac2_ev,roberta-base,0.5925925925925926,0.5,0.7272727272727273,162.33132910728455
TPC-DI,View-Unionable,prospect_both_0_1_ec_ev,distilbert-base-uncased,0.1666666666666666,0.0909090909090909,1.0,54.03431916236877
TPC-DI,View-Unionable,prospect_both_0_1_ec_ev,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,0.0,23.34902119636536
TPC-DI,View-Unionable,prospect_both_0_1_ec_ev,albert-base-v2,0.1666666666666666,0.0909090909090909,1.0,30.342523097991943
